Threshold,Accuracy,Precision,Recall,F1,True_Negatives,False_Positives,False_Negatives,True_Positives
0.3,0.9642203510566403,0.9799315157557106,0.5417165859970288,0.697723941053931,505293,463,19126,22608
0.31,0.9642221775740196,0.9805155354973095,0.5414050893755691,0.6976133872611072,505307,449,19139,22595
0.32,0.9642221775740196,0.9807241469132587,0.5412852829827,0.697566699604743,505312,444,19144,22590
0.33,0.9642440957825714,0.9813607924921793,0.5412133991469785,0.6976679536679536,505327,429,19147,22587
0.34,0.9642568814042266,0.9817849845672304,0.541141515311257,0.6977153714259233,505337,419,19150,22584
0.35,0.9642660139911231,0.9822081085783887,0.5410217089183879,0.6977225672877847,505347,409,19155,22579
0.36,0.964276973095399,0.9825485246757768,0.5409737863612403,0.6977685746074916,505355,401,19157,22577
0.37,0.964282452647537,0.9828449514520834,0.5408779412469449,0.6977635585230522,505362,394,19161,22573
0.38,0.9642952382691922,0.9833972459473592,0.540734173575502,0.6977829999072385,505375,381,19167,22567
0.39,0.9643080238908474,0.9838660445646012,0.5406383284612067,0.6978211452518286,505386,370,19171,22563
0.4,0.9643153299603646,0.9841643763905248,0.5405664446254852,0.6978362744946409,505393,363,19174,22560
0.41,0.9640760561836745,0.9842858396980072,0.537307710739445,0.6951453902907806,505398,358,19310,22424
0.42,0.9639025370326398,0.9847756056661224,0.534719892653472,0.6930972901622797,505411,345,19418,22316
0.43,0.963652304151674,0.9849844513549534,0.5312694685388413,0.6902434468588506,505418,338,19562,22172
0.44,0.963120787594294,0.9852245596648498,0.52405712368812,0.684185006178343,505428,328,19863,21871
0.45,0.9627828818791211,0.9853208507544083,0.5195044807590933,0.6803162948319683,505433,323,20053,21681
0.46,0.962607536210707,0.9856555504796711,0.5169885465088417,0.6782346284420974,505442,314,20158,21576
0.47,0.9624687208898792,0.9859174311926605,0.5149997603872143,0.6765826171813517,505449,307,20241,21493
0.48,0.9623828745730516,0.9861551906536038,0.5137298126228016,0.6755415517920441,505455,301,20294,21440
0.49,0.962397486712086,0.9866525521240852,0.51365792878708,0.6755960353603,505466,290,20297,21437
0.5,0.9623938336773274,0.9868754317292194,0.5134901998370633,0.6755031600182824,505471,285,20304,21430
0.51,0.962397486712086,0.9870560596987424,0.5134422772799156,0.6755039957126869,505475,281,20306,21428
0.52,0.962397486712086,0.987280519839624,0.5133224708870465,0.6754528400044141,505480,276,20311,21423
0.53,0.9623938336773274,0.9874141348946568,0.5132026644941774,0.6753803705163579,505483,273,20316,21418
0.54,0.9624011397468447,0.9876862057833325,0.5131547419370298,0.67540249459924,505489,267,20318,21416
0.55,0.9624066192989826,0.9879579219341146,0.5130828581013083,0.675403734544537,505495,261,20321,21413
0.56,0.9624011397468447,0.9880913916455112,0.5129390904298653,0.6753103361251754,505498,258,20327,21407
0.57,0.9624066192989826,0.9883184042847908,0.5128911678727177,0.6753218071680969,505503,253,20329,21405
0.58,0.962408445816362,0.9884993764722184,0.5128192840369962,0.6753017275380611,505507,249,20332,21402
0.59,0.9623810480556723,0.9885365628177868,0.512435903579815,0.6749779068299457,505508,248,20348,21386
0.6,0.9623646093992584,0.9887578070784178,0.5121004456797815,0.6747383541965934,505513,243,20362,21372
0.61,0.9623700889513964,0.989030824770897,0.51202856184406,0.6747395011051468,505519,237,20365,21369
0.62,0.9623700889513964,0.9892119640707473,0.5119327167297647,0.6746984147034675,505523,233,20369,21365
0.63,0.9623810480556723,0.9896682727946627,0.5118368716154694,0.6747212483022206,505533,223,20373,21361
0.64,0.9623883541251895,0.9898517145505097,0.5118368716154694,0.6747638752882459,505537,219,20373,21361
0.65,0.9623901806425688,0.9899429948556333,0.5118129103368956,0.6747642589755335,505539,217,20374,21360
0.66,0.9623883541251895,0.9900788131664349,0.5117170652226003,0.674712498420321,505542,214,20378,21356
0.67,0.962397486712086,0.9903993321274523,0.5116691426654526,0.674745240540327,505549,207,20380,21354
0.68,0.962408445816362,0.9908116385911179,0.5115972588297312,0.6747783764992178,505558,198,20383,21351
0.69,0.9623956601947068,0.9912191042557146,0.51121387837255,0.6745391887192134,505567,189,20399,21335
0.7,0.9623773950209136,0.9914891637987164,0.5108304979153687,0.6742678221266367,505573,183,20415,21319
0.71,0.9623920071599481,0.9918581929840886,0.5108304979153687,0.674353134687164,505581,175,20415,21319
0.72,0.9623993132294654,0.9921344131062086,0.5107825753582211,0.6743751977222397,505587,169,20417,21317
0.73,0.962315293430017,0.9923012318029115,0.5095845114295299,0.6733685843650065,505591,165,20467,21267
0.74,0.9623189464647756,0.9925317401045557,0.5095126275938084,0.6733588777352038,505596,160,20470,21264
0.75,0.962315293430017,0.9926230273601644,0.509416782479513,0.6732961743096022,505598,158,20474,21260
0.76,0.9623189464647756,0.9928538066324147,0.5093448986437916,0.6732864563537312,505603,153,20477,21257
0.77,0.9623225994995342,0.9929926188918995,0.5093209373652178,0.673297434273044,505606,150,20478,21256
0.78,0.9623262525342928,0.993177570093458,0.5092730148080702,0.6732980644343777,505610,146,20480,21254
0.79,0.9623299055690515,0.9934548854604955,0.5091771696937749,0.6732779925226539,505616,140,20484,21250
0.8,0.9623299055690515,0.9936395098681133,0.5090813245794795,0.6732365802649091,505620,136,20488,21246
0.81,0.9623244260169136,0.9938696242220039,0.508889634350889,0.6731217216297165,505625,131,20496,21238
0.82,0.9623189464647756,0.9939612395843086,0.5087698279580198,0.6730379104856092,505627,129,20501,21233
0.83,0.9623171199473963,0.9942386060237014,0.508602099008003,0.6729546787565588,505633,123,20508,21226
0.84,0.9623171199473963,0.994516567464967,0.5084583313365602,0.672892454535365,505639,117,20514,21220
0.85,0.9623171199473963,0.9947020488536734,0.5083624862222649,0.6728509585652442,505643,113,20518,21216
0.86,0.9623061608431204,0.994979118764957,0.5080749508793789,0.6726623840114204,505649,107,20530,21204
0.87,0.9623061608431204,0.9954440843548917,0.5078353380936407,0.6725585085283617,505659,97,20540,21194
0.88,0.9623098138778791,0.9957704779359933,0.5077155317007715,0.6725278910700967,505666,90,20545,21189
0.89,0.9622751100476721,0.996093382283724,0.5070925384578521,0.6720546205144491,505673,83,20571,21163
0.9,0.9622732835302928,0.9963268189310102,0.5069487707864092,0.6719814511902682,505678,78,20577,21157
0.91,0.9622641509433962,0.9965130524926963,0.5067331192792447,0.6718342969693119,505682,74,20586,21148
0.92,0.962222141043672,0.9968842940093471,0.5059903196434562,0.6712653177996408,505690,66,20617,21117
0.93,0.9621618659701547,0.9970204313280363,0.5051277136147985,0.6705365946754032,505693,63,20653,21081
0.94,0.9621034174140167,0.9972985781990521,0.5042171850289932,0.6697966069325524,505699,57,20691,21043
0.95,0.962052274927396,0.9974838587162932,0.5034504241146307,0.6691614382623651,505703,53,20723,21011
